reference,model,price,mileage,power_kW,power_CH,etat,proprietaires_prec.,dernier_controle_technique,garantie,carnet_dentretien,marque,n_dannonce,annee,couleur_exterieure,type_de_peinture,couleur_originale,carrosserie,transmission,vitesses,cylindree,cylindres,poids_a_vide,description,url
as24_0234e143-fe43-4e68-a477-62c9d4e6bfdb,Oldtimer Honda,2760,12110.0,,,Ancêtre,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Oldtimer,2048928,1998,Argent,,Argent,Sportive,,,75 cm³,0,,"Version rare en France car destine au march japonais Non-homologue, usage piste uniquement A collectionner d'urgence ! Dmarre, rviser/restaurer (carburation/injection, bougie(s), vidange, freins, pneus...) Documents fournis la vente : _ carte grise japonaise (originale), _ facture, _ certificat de cession, _ certificat 846A des Douanes. Livraison Bouches-du-Rhne = 156 * Livraison France (hors Corse) = 276 * Livraison Portugal et Espagne = MONCAO +351 912 127 178 / moncaotir@gmail.com * Livraison Allemagne et Belgique = ANNATRANS +32 56 84 36 22 / annatrans@sdgg.be 50 70 125 250 RG RGF RGV TZ RS TZR NS CBR",https://www.autoscout24.fr/offres/oldtimer-honda-essence-argent-0234e143-fe43-4e68-a477-62c9d4e6bfdb
as24_2cadba2f-7e8b-4fb2-aa0b-a799f2060fac,Yamaha YZF 1000,8490,26340.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Yamaha,2026180,2009,Blanc,,Blanc,Sportive,,,1.000 cm³,0,,"POT DOUBLE SORTIE AKRAPOVIC . SUPPORT PLAQUE COURT . DIABOLLO . BULLE SPORT NOIRE. MOTO POSSEDANT LES TROIS CLEFS, CARNET ENTRETIEN ET FACTURES .",https://www.autoscout24.fr/offres/yamaha-yzf-1000-r1-essence-blanc-2cadba2f-7e8b-4fb2-aa0b-a799f2060fac
as24_0f31c47d-8a7a-4d6b-928d-c559d3f3f2e7,Yamaha YFZ 50,1990,2.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Yamaha,2045633,2017,Blanc,,Blanc,Quad,,,50 cm³,0,,QUAD ENFANT YAMAHA YFZ 50 VEHICULE COMME NEUF (SERVIT UNE FOIS) BATTERIE NEUVE,https://www.autoscout24.fr/offres/yamaha-yfz-50-raptor-essence-blanc-0f31c47d-8a7a-4d6b-928d-c559d3f3f2e7
as24_4a7c42c1-819b-db10-e053-0100007f5348,Kawasaki ZR 1000,9000,2300.0,7.0,10.0,Occasion,1.0,1970-01-01 00:00:00,1970-01-01 00:00:00,,Kawasaki,,2012,Noir,,,,,,,0,,MOTO Z1000 BLACK EDITION. PEU SERVI CAUSE SANTE.POT ECHAPPEMENT IX RACE Z1 HOMOLOGUE.,https://www.autoscout24.fr/offres/kawasaki-zr-1000-essence-noir-4a7c42c1-819b-db10-e053-0100007f5348
as24_019a6cb6-3350-cd4d-e053-0100007f1692,Yamaha TMAX DX,9300,13500.0,4.0,5.0,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Yamaha,,2017,Noir,,,,,,,0,,Tmax DX comme neuf ! Bulle sport plaque sport vario malossi alarme tg poignet selle chauffante chargeur bulle électrique béquille centrale anti vol. Embrayage et courroie neuve l’huile a était changer ainsi que les freins et les pneus pour la vente,https://www.autoscout24.fr/offres/yamaha-tmax-dx-essence-noir-019a6cb6-3350-cd4d-e053-0100007f1692
as24_cd4957d4-7f8a-4457-84fe-b89663433aae,Suzuki GSR 750,5900,20000.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Suzuki,1934829,2014,Noir,,noir,Roadster,,,750 cm³,0,,parfait tat . Options : ) arrire court s2 concept ) silencieux IxRace ) mini clignos .. / REVISE / PNEUS OK / GARANTIE 3 MOIS . + // MOTOBOX - MARMANDE 05.53.64.42.83 // + Concession SUZUKI PIAGGIO VESPA YAMAHA Custom Garage Spcialiste Harley-Davidson +,https://www.autoscout24.fr/offres/suzuki-gsr-750-essence-noir-cd4957d4-7f8a-4457-84fe-b89663433aae
as24_faded957-5c49-42d5-ab4e-aed036f9d294,Yamaha,11690,99999.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Yamaha,1868588,2017,,,,Quad,,,700 cm³,0,,"Yamaha 700 Grizzly 2017 neuf à 11690€ - Le prix public conseillé de ce quad est de 13999€. KHYKS le vend 11690€ TTC, vous économisez donc 2309€, soit 16.49% - Quad homologué autorisé sur la voie publique. Nous établissons gratuitement la carte grise pour vous. Par contre, le coût de la carte grise (dépendant du coût du cheval fiscal dans votre département) reste à votre charge - Possibilité de reprise de votre moto de cross ou moto d'enduro - Possibilité de financement (de 4 à 72 mensualités au choix) avec ou sans apport au taux de 8.84 %. Par exemple, pour cette moto nous pouvons vous offrir un financement de 11690€ étalé sur 72 mensualités de 209.79€ - Possibilité d'expédition partout en France (de 100€ à 200€ suivant la région), en Europe et dans les DOM-TOM (vente hors taxes). Consultez-nous pour les autres destinations - NOUVEAU: nous pouvons homologuer votre moto de cross et votre quad! Toutes les infos sont disponibles sur notre site - - Pour plus d’informations et accéder à la liste complète de nos motos, rendez-vous sur notre site internet ou appelez-nous au 01 64 02 23 37",https://www.autoscout24.fr/offres/yamaha-700-grizzly-essence-faded957-5c49-42d5-ab4e-aed036f9d294
as24_7242f090-7926-4dd8-b893-1d04a5824623,Honda Integra,6990,10200.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Honda,1996045,2018,Argent,,Argent,Scooter,,,750 cm³,0,,1ere main / tablier + poignes chauffantes honda + porte bagage rvisions des 12.000 kils faites _Options : tablier + poignes chauffantes honda + porte bagage,https://www.autoscout24.fr/offres/honda-integra-750-essence-argent-7242f090-7926-4dd8-b893-1d04a5824623
as24_4468bd48-d1b3-42fc-a318-d550890daa4f,Yamaha FZ 1,1595,22000.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Yamaha,2021930,2007,Noir,,Noir,Roadster,,,1.000 cm³,0,,"Roadster YAMAHA FZ1 1000 Accident, en procdure RSV Cadre cass VEHICULE EN PROCEDURE RSV - Si vous tes un particulier, vendue uniquement pour la pice dtache (rcupration de pices, piste, circuit, comptition, stunt) - Si vous tes professionnel, ce vhicule vous sera vendu avec son dossier RSV complet (1er rapport d'expertise et carte grise originale) - Livraison en France possible - Vente l'export possible",https://www.autoscout24.fr/offres/yamaha-fz-1-essence-noir-4468bd48-d1b3-42fc-a318-d550890daa4f
as24_0713ce57-62b5-43eb-b96f-e1699d27db78,Suzuki GT 380,4500,33333.0,32.0,44.0,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Suzuki,,1979,Noir,,,Autres,,,,0,,"À vendre Suzuki 380 GT Un des derniers exemplaires commercialisés.Il a subit une restauration mécanique (factures des pièces disponibles).Une révision est en cours.Le son de son moteur est un régal et la souplesse de son moteur 2 temps est incroyable.Sa partie cycle est en bon état d’origine.Seuls ses échappements d’origines ont été repeints en noir et ne sont plus chromés.Elle bénéficie d’une carte grise de collection.Pour tout renseignement complémentaire , merci de me joindre uniquement au téléphone au 06 08 31 01 64Prix ferme : 4500 euros Visible à Ste Maxime Livraison possible partout en France pour 300 euros par un transporteur spécialisé que je connais.D’autres motos collectors disponibles www.paradise-automobile.frMerci.Motos similaires :Suzuki 550 GT, Kawasaki 350, Kawasaki 400, Kawasaki 500, Suzuki 350 T, Suzuki 500 T...",https://www.autoscout24.fr/offres/suzuki-gt-380-essence-noir-0713ce57-62b5-43eb-b96f-e1699d27db78
as24_bd230118-f986-4153-bd5a-d2ed1f63e9f3,Benelli,4990,19135.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Benelli,2006798,2010,,,,Roadster,,,899 cm³,0,,AUVERGNE MOTOS VEND UNE TNT 899 S DU 03/03/2010 RVISE AUCUN FRAIS A PRVOIR CRDIT TOTAL OU PARTIEL POSSIBLE AUVERGNE MOTOS A VOTRE SERVICE AU 04 73 15 30 00,https://www.autoscout24.fr/offres/benelli-essence-bd230118-f986-4153-bd5a-d2ed1f63e9f3
as24_ab1a9627-bf63-478c-8c78-bd8bffd8f18b,Harley-Davidson Ultra Classic,11200,80000.0,52.0,71.0,Occasion,2.0,1970-01-01 00:00:00,1970-01-01 00:00:00,,Harley-Davidson,,2008,Noir,Métallisé,,Custom,Boîte manuelle,6.0,1.549 cm³,2,376 kg,"6 bonnes raisons de choisir Hemera Cars Import comme partenaire:- Nos motos sont garanties en provenance uniquement de concessionnaires de marques HD- Livraison partout en France y compris en Corse- Règlement à la livraison du véhicule- Mise en route par nos soins et personnalisée- Nous nous occupons de toutes les démarches d'Immatriculation- Financement - LDD avec entretien / train pneus inclusN'hésitez-pas à consulter notre site internet :https://www.hemeramotorcycles.com/Nous sommes importateur de tous types de motos, essentiellement Harley Davidson.Nos motos proviennent de la zone euro et des USA.Nos véhicules viennent uniquement de concessionnaires, avec un historique d'entretien et sont systématiquement contrôlées et révisées avec fourniture d'une garantie de 3 mois.Bien sur nous nous occupons de l'homologuation pour immatriculation en France.Belle Harley Davidson FLHTCU Ultra Classic Electra Glide de 2008 ayant 80.000 kilomètres, parfaitement entretenue moteur Twin Cam 96 i de 1584 cc, boite 6 vitesses, moto en parfait état (intégralement révisée: freins, pneus, vidange, filtre, distribution...) garantie trois mois.Cette moto est une importation USA, et sera livrée avec son homologation France pour immatriculation définitive. Carte grise en sus.Prix TTC: 11.200, 00 €",https://www.autoscout24.fr/offres/harley-davidson-ultra-classic-flhtcu-electra-glide-ultra-classique-essence-noir-ab1a9627-bf63-478c-8c78-bd8bffd8f18b
as24_5c438eb8-996d-517b-e053-0100007fd7b0,Honda Pan European,5990,54000.0,80.0,109.0,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Honda,,2008,Rouge,,,,,,,0,,SUPERBE MOTO:SUPER CONFORTABLE POUR LE PASSAGERREVISIONS FAITES EXCLUSIVEMENT CHEZ HONDA(demander factures)PNEUX AVANT NEUFS AOUT 2020 / PNEUX ARRIERE DECEMBRE 2020RIEN A PREVOIR.VISIBLE A COTE DE CHARTRES 28,https://www.autoscout24.fr/offres/honda-pan-european-essence-rouge-5c438eb8-996d-517b-e053-0100007fd7b0
as24_10817d26-a57e-44c9-95df-c7a4019bb85a,Oldtimer,2990,17160.0,,,Ancêtre,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Oldtimer,1983693,1992,,,,Custom,,,750 cm³,0,,"Belle XV750 Virago, bleu mtal, peu roul, rvise, aucun consommable prvoir. equip d'un sissy bar, pare carter moteur, sacoche AV, transmission par cardan, 52CV.",https://www.autoscout24.fr/offres/oldtimer-others-yamaha-essence-10817d26-a57e-44c9-95df-c7a4019bb85a
as24_bbd38dbc-6056-c531-e053-0100007f6ffc,Piaggio,2000,31000.0,125.0,170.0,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Piaggio,,1985,Gris,,,Autres,Boîte manuelle,4.0,125 cm³,1,100 kg,"Piaggio Vintage de 1985Démarreur électrique avec batterie neuveMélange essence /huile se fait dans le moteurPetite bosse sur tablier avant droit.Clignotants, feux fonctionnentPetit problème sur compteur.",https://www.autoscout24.fr/offres/piaggio-others-piaggio-125-essence-2-temps-gris-bbd38dbc-6056-c531-e053-0100007f6ffc
as24_c30408a7-e319-408f-95bc-24bcd56838a1,Suzuki TS 50,1490,12039.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Suzuki,2044672,1975,Orange,,Orange,Enduro,,,50 cm³,0,,"Suzuki TS 50 - Dmarre - Belle base / rviser / restaurer (nettoyage carbu, bougie, vidange etc) - Forfait carte grise collection possible par nos soins = 300 + cot de carte grise - Livraison Bouches du Rhne = 156 - Livraison en France hors Corse = 276 - Livraison Portugal / Espagne = MONCAO +351 912 127 178 / moncaotir@gmail.com - Livraison Allemagne / Belgique = ANATRANS +32 56 84 36 22 / annatrans@sdgg.be Rfrence = 52075 - Documents fournis la vente : Carte grise Japonaise (original) Facture Certificat de cession Certificat 846A des douanes Franaise",https://www.autoscout24.fr/offres/suzuki-ts-50-essence-orange-c30408a7-e319-408f-95bc-24bcd56838a1
as24_c011ae78-76a6-4dcb-9f67-3ed0eeb01cd6,Oldtimer,2990,24600.0,,,Ancêtre,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Oldtimer,2020976,1979,Blanc,,Blanc,Autres,,,50 cm³,0,,"GT 50, restaur, tat impeccable, moteur reconditionn, prvoir rodage. Rare dans cet tat.",https://www.autoscout24.fr/offres/oldtimer-others-yamaha-essence-blanc-c011ae78-76a6-4dcb-9f67-3ed0eeb01cd6
as24_bf2d19e3-6854-4543-8bd5-e8a899a91ebe,Yamaha MT-125,4100,1242.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Yamaha,2050165,2020,Bleu,,Bleu,Roadster,,,125 cm³,0,,YAMAHA MT125 ABS DU 10/01/2020 AVEC SEULEMENT 1242 KMS . LIGNE AKRAPOVIC .,https://www.autoscout24.fr/offres/yamaha-mt-125-abs-essence-bleu-bf2d19e3-6854-4543-8bd5-e8a899a91ebe
as24_555d0172-095f-440d-8138-5eaf76252dde,Kawasaki Ninja 650,6990,1660.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Kawasaki,2037033,2019,Vert,,Vert,Routière,,,650 cm³,0,,"KAWASAKI 650 NINJA en A2 du 04/05/2019 avec seulement 1660 kms Pack Performance ligne Akrapovic, capot de selle, support de plaque, saut de vent sport, protection de rservoir carnet ok rvision faite garantie 05/2023",https://www.autoscout24.fr/offres/kawasaki-ninja-650-essence-vert-555d0172-095f-440d-8138-5eaf76252dde
as24_c9614b97-3a55-487a-b9bb-2bf43404617c,Kawasaki,4399,2016.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Kawasaki,1905096,2016,,,,Cross,,,250 cm³,0,,"CBO MOTO AGEN Concessionnaire HONDA / HUSQVARNA / KYMCO vous propose :KAWASAKI 250 KXF2016Sur cette moto rvise en concession :Financement 97.07 / mois sur 5 ans avec 15% dapport (personnalisable)Livraison possible dans toute la France partir de 190 HTPaiement en 4 fois sans fraisReprise possible sur : CRF, KXF, TC, FC, YZF, SXF...Contact : Tel : 05.53.67.53.05Fabien Calmette : commercial@cbo47.frRichard Sarrabaig : commercial2@cbo47.frAurlien Garnier : direction@cbo47.frAdresse :6 Alle Larroumet et LagardeZ.A.C Lamothe Magnac47550 BoRetrouvez CBO Moto Agen et Toulouse sur nos pages face/book et suivez-nous, et commandez vos pices Husqvarna sur notre site internet cboparts.com",https://www.autoscout24.fr/offres/kawasaki-kxf-essence-c9614b97-3a55-487a-b9bb-2bf43404617c
as24_c65784d7-7fa6-44db-abd3-9672cbdb360e,BMW C 650 GT,7490,12000.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,BMW,2036328,2017,Bleu,,Bleu,Scooter,,,650 cm³,0,,ENTRETIEN A JOUR AUCUN FRAIS A PREVOIR,https://www.autoscout24.fr/offres/bmw-c-650-gt-essence-bleu-c65784d7-7fa6-44db-abd3-9672cbdb360e
as24_9129b426-22b9-4ad4-9696-e2b1edb85c43,Mercedes-Benz B 200,46338,1500.0,110.0,150.0,Occasion,1.0,1970-01-01 00:00:00,1970-01-01 00:00:00,,Mercedes-Benz,1434298a-b59d-4aca-87e4-8432d196ab5d,2020,Noir,Métallisé,kosmosschwarz,Collection,Boîte automatique,,1.950 cm³,4,1.535 kg,"VendeurMerbag S.A Rue de Boullion 45L 1248 - LuxembourgOffice: +352 - 40801652Véhicule considéré comme neuf et soumis à la TVA France. Interne Fahrzeugnr.: 0951377858Standort: Dekra Centre in Luxembourg (PLZ 1248)Tel.: +352 408011Ausstattungslinien und -PaketeAMG LineAMG StylingAusstattungspaket: Licht und SichtLaderaum-PaketNight-PaketPark-Paket mit RückfahrkameraSitzkomfort-PaketSpiegel-PaketExterieurLED High Performance-ScheinwerferSPEED- + LOADINDEX 91W4 Zylinder DieselmotorAuenspiegel elektrisch anklappbarEinstiegsleisten mit ""Mercedes Benz"" Schriftzug, beleuchtetEinstiegsleisten mit ""Mercedes-Benz"" SchriftzugScheibenwaschanlage beheiztWärmedämmend dunkel getöntes GlasInterieurKlimatisierungsautomatik (THERMOTRONIC)Sitzheizung Fahrer/BeifahrerSitzlehnen im Fond klappbarBrillenfach für FahrerGepäcknetz an Fahrer- und Beifahrerlehne12V-Steckdose im GepäckraumAmbiente-BeleuchtungAMG FumattenArmlehne im FondDoppelcupholderInnenhimmel Stoff schwarzSonnenblenden mit Make-up-Spiegel, beleuchtetTouchpadMultimediaFestplatten-NavigationAdvanced SoundsystemDigitales RadioGPS AntenneApple CarPlayErweiterte Funktionen MBUXKommunikationsmodul (LTE) für die Nutzung von Mercedes me connect DienstenMBUX MultimediasystemMercedes-Benz NotrufsystemSmartphone integrationVorrüstung für Fahrzeug SetupVorrüstung Live Traffic InformationKomfort und UmweltPanorama-SchiebedachKeyless-GoKEYLESS-GO Komfort-PaketRückfahrkamera8G-DCTAktiver Park-Assistent mit PARKTRONICEASY-PACK-HeckklappeAktiver SpurhalteassistentDirektlenkungDynamic SelectTotwinkel-AssistentGalvanisierte LenkradschaltpaddlesMultifunktions-Sportlenkrad in Leder NappaTempomatScheibenwischer mit RegensensorAbgasreinigung EURO 6 Techniki-Size-Kinder-RückhaltesystemKomfortfahrwerk mit TieferlegungHands-free-accessInnen- und Auenspiegel automatisch abblendendSicherheitAktiver Brems-AssistentMultikollisionsbremseAutomatische Beifahrerairbag-AbschaltungKneebagAusstiegswarnfunktionFeuerlöscherFondgurt-Statusanzeige im KombiinstrumentReifendruckkontrolle (RDK)TIREFITWeiteresCOC-Papier EU6 ohne Zulassungsbescheinigung Teil 2Steuercode Umstellung WLTP mit RDETechnische ÄnderungenUMSTELLUNG WELTHERSTELLER AUF MERCEDES-BENZ AGÄnderungsjahr 09/2Sonstiges:Ehem. Neupreis: 45.179,55 EuroKeine Haftung für Druck & SchreibfehlerÄnderungen, Irrtümer und Zwischenverkauf vorbehaltenpowered by two S",https://www.autoscout24.fr/offres/mercedes-benz-b-200-d-amg-line-navi-pano-dach-keyless-go-styling-diesel-noir-9129b426-22b9-4ad4-9696-e2b1edb85c43
as24_7543a7db-8e04-43f2-a2fb-cb8e39a55ac0,Yamaha MT-09,8599,19091.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Yamaha,2050135,2016,Noir,,Noir,Routière,,,847 cm³,0,,"Ancien vhicule de gendarmerie Rvision jour, suspensions remise neuf, aucun frais prvoir Options: peinture personnalise, top case 50L Yamaha, sacoche de rservoir, poignes chauffantes, grille de radiateur, bras oscillant rallong Garantie 1 an CIRANO Assurance, reprise, extension de garantie et financement possibles",https://www.autoscout24.fr/offres/yamaha-mt-09-tracer-essence-noir-7543a7db-8e04-43f2-a2fb-cb8e39a55ac0
as24_bb70fc22-8fbf-4b38-8e2a-585c1ebd1fde,Oldtimer,1990,8507.0,,,Ancêtre,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Oldtimer,2050065,1999,Rouge,,Rouge,Custom,,,125 cm³,0,,"En vente chez MOTO42, trs belle Kawasaki 125 Eliminator faiblement kilomtre. La moto est en excellent tat gnrale, petite griffures sur le rservoir peu visible, vendue rvise, consommable jour, pas de frais prvoir. Pour plus d'informations veuillez nous contacter directement svp",https://www.autoscout24.fr/offres/oldtimer-others-kawasaki-essence-rouge-bb70fc22-8fbf-4b38-8e2a-585c1ebd1fde
as24_35ecaaba-ce35-b61a-e053-0100007f492e,BMW R 1250 RT,17350,12850.0,100.0,136.0,Occasion,1.0,1970-01-01 00:00:00,1970-01-01 00:00:00,,BMW,,2019,Bleu,Métallisé,,,,,,0,,"Moto première main, garantie en cours par BMW MOTORRAD jusqu'au 14 Juin 2022. Véhicule suivi en concession BMW, carnet d'entretien disponible 2 clé + 2 télécommande de verrouillage et alarme Date de 1ère mise en circulation : 07/2019 12 850 km évolutif Pack confort et dynamic OPTIONS: ABS - ANTI PAT. - SUSPENSION PILOTÉE - AMORTISSEUR DE DIRECTION - CONTRÔLE PRESSION PNEUS - BULLE RÉGLABLE ELECTRIQUE - BULLE ELECTRIQUE - VALISES - SELLE CHAUFFANTE - POIGNÉES CHAUFFANTES - TOP CASE - ALARME",https://www.autoscout24.fr/offres/bmw-r-1250-rt-essence-bleu-35ecaaba-ce35-b61a-e053-0100007f492e
as24_e5981225-5b9a-42fd-9055-22725acc74e0,Honda Forza 300,4399,5386.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Honda,2041667,2018,Bleu,,Bleu,Scooter,,,300 cm³,0,,Forza 300 premiere main. options : smart top box selle confort bulle fume,https://www.autoscout24.fr/offres/honda-forza-300-abs-essence-bleu-e5981225-5b9a-42fd-9055-22725acc74e0
as24_11e03761-29ca-4a8d-80e6-0c11c051c1a6,BMW R 1200 RT,4990,97750.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,BMW,2044122,2006,Noir,,NOIR,Routière,,,1.200 cm³,0,,"Options : Garantie 3 mois avec possibilit d'extension 12 mois, poignes et selle chauffantes , selle grand confort, alarme , top case , GPS , ESA (suspension pilote)porte paquet sur top case , protge cache culbuteurs LA MAISON DE LA MOTO - 06250 MOUGINS - FRANCE Tel :04.93.75.18.40 - email : info@maisondelamoto.fr Website: http://www.maisondelamoto.fr",https://www.autoscout24.fr/offres/bmw-r-1200-rt-abs-essence-noir-11e03761-29ca-4a8d-80e6-0c11c051c1a6
as24_3f6197a4-5d29-48aa-b21c-8a992045bb49,Autres,23988,708.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,,2033408,2002,Rouge,,Rouge,Autres,,,1.100 cm³,0,,MAGNI SFIDA 1100 IE avec seulement 708 km ! - moto en trs bon tat d'origine - jamais restaur - moto vidange et contrle - culasse 2 soupapes 19990 HT / 23988 TTC - Livraison Bouches du Rhne = 156 - Livraison en France hors Corse = 276 - Livraison Portugal / Espagne = MONCAO +351 912 127 178 / moncaotir@gmail.com - Documents fournis la vente : Carte grise Japonaise (original) Facture Certificat de cession Certificat 846A des douanes Franaise,https://www.autoscout24.fr/offres/others-others-magnum-essence-rouge-3f6197a4-5d29-48aa-b21c-8a992045bb49
as24_9bdd623d-f5f5-4fab-bf38-1ddb225cda05,Aprilia RS 250,9590,16220.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Aprilia,2048386,2002,Noir,,Noir,Sportive,,,250 cm³,0,,"Dmarre, rviser Bel tat gnral Pots de dtente et silencieux nettoyer Le prix comprend le certificat de conformit Documents fournis la vente : _ carte grise japonaise (originale), _ facture, _ certificat de cession, _ certificat 846A des Douanes. Livraison Bouches-du-Rhne = 156 * Livraison France (hors Corse) = 276 * Livraison Portugal et Espagne = MONCAO +351 912 127 178 / moncaotir@gmail.com * Livraison Allemagne et Belgique = ANNATRANS +32 56 84 36 22 / annatrans@sdgg.be 125 350 500 RG RGV TZ TZR RS NSR KR KR1 RD RDLC RZ",https://www.autoscout24.fr/offres/aprilia-rs-250-essence-noir-9bdd623d-f5f5-4fab-bf38-1ddb225cda05
as24_d2ca75de-f6d7-4613-9899-ba00f642944e,Yamaha NMAX,2890,500.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Yamaha,2027688,2022,Blanc,,Blanc,Scooter,,,125 cm³,0,,A rserver Nmax 125 disponible partir du 17 dcembre Reprise possible a partir de 52 par mois sans apport,https://www.autoscout24.fr/offres/yamaha-nmax-125-essence-blanc-d2ca75de-f6d7-4613-9899-ba00f642944e
as24_5052f4a7-fb34-4b0d-928f-3226f7ed2618,KTM 790 Adventure,10390,1600.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,KTM,2042222,2020,Blanc,,Blanc,Enduro,,,799 cm³,0,,KTM 790 ADVENTURE entretien a jour consommables ok garanti constructeur 08/08/2022 Financement et assurance possibles. Affaire saisir Visible chez KMOTORS KTM Albi,https://www.autoscout24.fr/offres/ktm-790-adventure-essence-blanc-5052f4a7-fb34-4b0d-928f-3226f7ed2618
as24_174e3363-e17f-452f-95df-44d45781fd5b,Triumph Bonneville T100,7498,13015.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Triumph,2050798,2017,Noir,,Noir,Roadster,,,900 cm³,0,,"A saisir ! TRIUMPH BONNEVILLE T100 BLACK Rviser et garantie 3 mois OPTIONS : ABS Reprise et financement possible Livraison possible dans toute la France Kawasaki Avignon (Plante JMS Motos) 1 BIS RTE DE MORIERES 84000 AVIGNON 04 90 87 70 70 www.jmsmotos.fr ANNONCE NON CONTRACTUELLE /// KAWASAKI, YAMAHA, HUSQVARNA, HONDA, SUZUKI, BMW, DUCATI, KTM, HARLEY DAVIDSON, MOTO GUZZI /// TRAIL, SUPERMOTARD, CUSTOM, ROUTIRE, SPORTIVE, ROADSTER, CROSS, SCOOTER /",https://www.autoscout24.fr/offres/triumph-bonneville-t100-black-essence-noir-174e3363-e17f-452f-95df-44d45781fd5b
as24_91696b0c-b5cb-4567-819b-ada5c243c685,Piaggio Fly 125,1790,4517.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Piaggio,2030987,2015,Noir,,Noir,Scooter,,,125 cm³,0,,Top case,https://www.autoscout24.fr/offres/piaggio-fly-125-essence-noir-91696b0c-b5cb-4567-819b-ada5c243c685
as24_3b312bcf-876a-44e9-a150-b8e9b8985be6,Ducati,9500,32831.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Ducati,2030365,2013,Rouge,,Rouge,Routière,,,1.200 cm³,0,,"En option : kit Top case, crash bar, sacoche de rservoir",https://www.autoscout24.fr/offres/ducati-essence-rouge-3b312bcf-876a-44e9-a150-b8e9b8985be6
as24_0cd972f9-a275-47b7-994c-4f739e8abc6a,Autres,18900,17500.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,,2039628,2015,Vert,,Vert,Custom,,,1.700 cm³,0,,"Softail Fat Boy. Anne 2015. Dpt vente. Stage 1, filtre RSD, guidon, carter moteur noir. Garantie garage 6 mois.",https://www.autoscout24.fr/offres/others-others-harley-davidson-essence-vert-0cd972f9-a275-47b7-994c-4f739e8abc6a
as24_68910352-e4d2-42e0-8103-00053b751204,Yamaha FJR 1300,17997,1294.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,Yamaha,2036294,2020,Bleu,,Bleu,Routière,,,1.300 cm³,0,,FJR 1300 AS KILOMETRAGE : 1294 Km OPTIONS : - Vhicule entirement d'origine - aucun consommable prvoir - Etat neuf - Rvision des 1.000 Km effectue,https://www.autoscout24.fr/offres/yamaha-fjr-1300-as-essence-bleu-68910352-e4d2-42e0-8103-00053b751204
as24_20ca042b-f549-4be7-897d-c939ec9b6b1b,BMW K 1600 B,18500,6319.0,,,Occasion,,1970-01-01 00:00:00,1970-01-01 00:00:00,,BMW,2048274,2017,Noir,,Noir,Routière,,,1.600 cm³,0,,BMW K 1600 B 01/09/2017 JMS MOTOS 5 AVENUE DE ST CHAMAND 84000 AVIGNON 04 65 00 00 65 OPTIONS: Projecteurs directionnels autoadaptatifs + Interface Bluetooth + DTC + Dynamic ESA + Keyless Ride + Eclairage diurne + Hill Start Control + Shifter Pro + Pack Touring + Systme audio ECE + prparation navigation + Marche-pied + Radio + Verrouillage centralise + Pack scurit + RDC + Projecteurs additionnels + assistance de marche arrire + ABS pro + Alarme antivol + Bquille centrale + Etrier de protection de moteur. ANNONCE NON CONTRACTUELLE,https://www.autoscout24.fr/offres/bmw-k-1600-b-essence-noir-20ca042b-f549-4be7-897d-c939ec9b6b1b
